geneID,Puncta in P1 (2-cell),Puncta in P2 (4-cell),Puncta in P3 (8-cell),Puncta in P4 (28-cell),Pattern consistent with enrichment in Z2/Z3 (100-cell),Group,Additional comments on RNA localization,Group I RNAi results,"avg_mRNA_fpm from Lee et al., 2020","avg_Rb_fpm from Lee et al., 2020",TE (ave_Rb_fpm / avg_mRNA_fpm),WBgene,Embryonic lethality in N2 or rrf-3 (data from Wormbase)
abi-1,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),134.6429636,79.95047151,0.593796136,WBGene00015146,Embryonic lethal
air-1,+,+,+,+,+,Group I,RNA localizes to puncta in somatic cells,"embryonic lethality, could not count sterility in either N2 or grif-1(ax4524)",158.4145749,242.4116487,1.530235768,WBGene00000098,Embryonic lethal
alg-5,+,+,+,+,+,Group I,"RNA localizes to puncta in somatic cells, Enrichment in ~100-cell is weak",,58.25326922,17.91218962,0.307488144,WBGene00011945,
ani-2,+,+,+,+,+,Group I,RNA localizes to puncta in somatic cells,"no F1 worms, could not count sterility in either N2 or grif-1(ax4524)",58.95390111,34.43260339,0.584059795,WBGene00019608,Embryonic lethal
B0261.7,+,+,+,-,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),82.09684967,64.54597029,0.786217383,WBGene00015095,
C04F12.1,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),27.05927257,23.32107711,0.861851591,WBGene00007297,
C18E9.2,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),8.492878616,54.22561439,6.384833322,WBGene00007683,Embryonic lethal
C32D5.11,+,+,+,-,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),123.8738968,83.86623157,0.67702909,WBGene00016318,
cbd-1,+,+,+,+,+,Group I,,"embryonic lethality, could not count sterility in either N2 or grif-1(ax4524)",392.3024635,6.592745783,0.016805262,WBGene00010351,Embryonic lethal
cdc-48.1,+,+,+,+,+,Group I,,"P0 lethality, could not count sterility in either N2 or grif-1(ax4524)",456.3117808,497.3289289,1.089888427,WBGene00007352,Embryonic lethal
ced-6,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),43.02267046,33.49381966,0.77851559,WBGene00000420,
cey-3,+,+,+,+,+,Group I,RNA localizes to puncta in somatic cells,not significantly sterile in N2 or grif-1(ax4524),166.5505571,30.80712552,0.184971615,WBGene00000474,
cgt-3,+,+,+,+,+,Group I,"RNA localizes to puncta in somatic cells, Enrichment in ~100-cell is weak",not significantly sterile in N2 or grif-1(ax4524),53.04855647,10.5485503,0.198847075,WBGene00019127,
cnx-1,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),162.2330427,63.10385796,0.38897044,WBGene00000567,
dars-1,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,"P0 lethality, could not count sterility in either N2 or grif-1(ax4524)",212.1572417,198.5893825,0.936048098,WBGene00001094,Embryonic lethal
dlat-1,+,+,+,+,+,Group I,,"embryonic lethality, could not count sterility in either N2 or grif-1(ax4524)",90.6518546,122.4351247,1.350608051,WBGene00009082,Embryonic lethal
egg-6,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,"embryonic lethality, could not count sterility in either N2 or grif-1(ax4524)",43.29997714,2.933485775,0.067747975,WBGene00010621,Embryonic lethal
