WBgene,MFE,MFE_normalized,paired_fraction,unpaired_fraction
WBGene00000041,-47.9,-0.17545787545787545,0.5714285714285714,0.42857142857142855
WBGene00000064,-22.5,-0.13719512195121952,0.47560975609756095,0.524390243902439
WBGene00000098,-41.97,-0.11889518413597733,0.44192634560906513,0.5580736543909348
WBGene00000101,-53.9,-0.12925659472422063,0.46522781774580335,0.5347721822541966
WBGene00000168,-136.2,-0.17688311688311686,0.5246753246753246,0.4753246753246753
WBGene00000192,-55.24,-0.13844611528822057,0.40100250626566414,0.5989974937343359
WBGene00000200,-30.7,-0.09808306709265176,0.3961661341853035,0.6038338658146964
WBGene00000223,-199.6,-0.1726643598615917,0.5415224913494809,0.458477508650519
WBGene00000229,-43.0,-0.1423841059602649,0.5165562913907285,0.48344370860927155
WBGene00000231,-85.3,-0.13348982785602503,0.37871674491392804,0.621283255086072
WBGene00000289,-66.4,-0.13495934959349595,0.4634146341463415,0.5365853658536586
WBGene00000301,-12.5,-0.11682242990654206,0.5794392523364486,0.4205607476635514
WBGene00000376,-254.6,-0.2085176085176085,0.5438165438165438,0.4561834561834562
WBGene00000377,-25.3,-0.11712962962962964,0.39814814814814814,0.6018518518518519
WBGene00000378,-35.2,-0.1375,0.46875,0.53125
WBGene00000379,-25.8,-0.11415929203539824,0.49557522123893805,0.504424778761062
WBGene00000380,-31.0,-0.11071428571428571,0.38571428571428573,0.6142857142857143
WBGene00000381,-34.4,-0.12198581560283688,0.48936170212765956,0.5106382978723404
WBGene00000383,-53.3,-0.1260047281323877,0.4444444444444444,0.5555555555555556
WBGene00000387,-113.1,-0.18881469115191984,0.5075125208681135,0.49248747913188645
WBGene00000390,-110.8,-0.14617414248021107,0.47757255936675463,0.5224274406332454
WBGene00000417,-155.44,-0.16379346680716544,0.5079030558482613,0.49209694415173866
WBGene00000420,-30.0,-0.136986301369863,0.4657534246575342,0.5342465753424658
WBGene00000465,-9.4,-0.07014925373134329,0.34328358208955223,0.6567164179104478
